,PIR_364mg.kg_5d_NN_OG_Rep1,PIR_364mg.kg_5d_NN_OG_Rep2,PIR_364mg.kg_5d_NN_OG_Rep3,Control_0_5d_NN_OG_Rep1,Control_0_5d_NN_OG_Rep6,Control_0_5d_NN_OG_Rep3
ENSRNOG00000000692,374,376,370,1642,1132,761
ENSRNOG00000000693,3,2,0,0,1,1
ENSRNOG00000000695,69,61,48,206,162,146
ENSRNOG00000000697,369,380,284,1606,1712,1385
ENSRNOG00000000699,19,11,22,220,91,76
ENSRNOG00000000700,6,8,5,59,42,30
ENSRNOG00000000701,874,931,777,2618,2601,2086
ENSRNOG00000000702,153,162,156,534,477,398
ENSRNOG00000000704,16,13,19,259,109,74
ENSRNOG00000000708,0,0,0,4,2,3
ENSRNOG00000000713,0,0,0,2,0,0
ENSRNOG00000000715,0,0,1,0,2,0
ENSRNOG00000000716,0,0,0,0,0,0
ENSRNOG00000000718,418,489,442,1673,1430,1237
ENSRNOG00000000720,156,162,120.83,676.17,589.1,459.5
ENSRNOG00000000723,441.36,292.67,440.87,4670.78,2028.81,1417.54
ENSRNOG00000000726,0,0,0,0,0,0
ENSRNOG00000000728,58,142,93,389,675,250
ENSRNOG00000000729,93,126,120,392,402,280
ENSRNOG00000000746,0,0,0,0,0,0
ENSRNOG00000000747,1,0,0,4,3,7
ENSRNOG00000000748,14.19,6.79,4.68,17.94,20.48,8.93
ENSRNOG00000000749,0,0,0,0,0,0
ENSRNOG00000000759,0,0,0,0,0,0
ENSRNOG00000000763,16,8,19,159,67,56
ENSRNOG00000000765,0,0,0,0,0,0
ENSRNOG00000000767,0,0,0,0,0,0
ENSRNOG00000000768,10,111,150,2323,493,276
ENSRNOG00000000774,214,140,114,394,515,307
ENSRNOG00000000775,19,11,4,32,28,16
ENSRNOG00000000777,722.54,458.41,819.14,19280.49,7895.23,5980.63
ENSRNOG00000000778,44,62.49,61.47,152.7,119.21,114.72
ENSRNOG00000000779,86,80,74,233,225,170
ENSRNOG00000000780,263,250,207,774,739,559
ENSRNOG00000000781,70,77,58,498,449,263
ENSRNOG00000000782,0,0,1,10,5,3
ENSRNOG00000000783,0,0,0,0,0,0
ENSRNOG00000000785,365,320,281,1028,1117,631
ENSRNOG00000000786,406,464,363,2603,2613,1658
ENSRNOG00000000787,14.85,11.52,21.61,131.61,51.16,79.31
ENSRNOG00000000795,63.31,79.34,110.11,1467.48,357.07,531.73
ENSRNOG00000000796,1857,2013,2202,5426,4655,4515.48
ENSRNOG00000000798,389,350,314,1030,785,589
ENSRNOG00000000799,703,815,693,2128,1972,1697
ENSRNOG00000000800,1393,1640,1618,11545,8953,6725
ENSRNOG00000000801,4,8,9,41,46,25
ENSRNOG00000000802,43,30,35,67,47,43
ENSRNOG00000000804,674,679,730,1245,1254,877
ENSRNOG00000000805,116,112,104,579,682,468
ENSRNOG00000000808,219,233,202,989,791,691
ENSRNOG00000000809,67,74,51,137,171,101
ENSRNOG00000000811,13,131,96,36,24,25
ENSRNOG00000000812,179.06,199.55,152.49,373.66,316.26,214.67
ENSRNOG00000000814,5214,4894,4288,3066,3213,2316
